"iter","muon+adamw--lr1e-3 - train/loss","muon+adamw--lr1e-3 - train/loss__MIN","muon+adamw--lr1e-3 - train/loss__MAX","muon+adamw--lr1e-3 - _step","muon+adamw--lr1e-3 - _step__MIN","muon+adamw--lr1e-3 - _step__MAX","muon-cos_inf - train/loss","muon-cos_inf - train/loss__MIN","muon-cos_inf - train/loss__MAX","muon-cos_inf - _step","muon-cos_inf - _step__MIN","muon-cos_inf - _step__MAX","muon+adamw--lr1.5e-3 - train/loss","muon+adamw--lr1.5e-3 - train/loss__MIN","muon+adamw--lr1.5e-3 - train/loss__MAX","muon+adamw--lr1.5e-3 - _step","muon+adamw--lr1.5e-3 - _step__MIN","muon+adamw--lr1.5e-3 - _step__MAX","muon1500 - train/loss","muon1500 - train/loss__MIN","muon1500 - train/loss__MAX","muon1500 - _step","muon1500 - _step__MIN","muon1500 - _step__MAX","muon-linear - train/loss","muon-linear - train/loss__MIN","muon-linear - train/loss__MAX","muon-linear - _step","muon-linear - _step__MIN","muon-linear - _step__MAX","muon-cosine - train/loss","muon-cosine - train/loss__MIN","muon-cosine - train/loss__MAX","muon-cosine - _step","muon-cosine - _step__MIN","muon-cosine - _step__MAX","muon - train/loss","muon - train/loss__MIN","muon - train/loss__MAX","muon - _step","muon - _step__MIN","muon - _step__MAX"
"1850","","","","","","","3.601604700088501","3.601604700088501","3.601604700088501","76","76","76","","","","","","","","","","","","","3.5659594535827637","3.5659594535827637","3.5659594535827637","76","76","76","3.502981662750244","3.502981662750244","3.502981662750244","76","76","76","3.5325140953063965","3.5325140953063965","3.5325140953063965","76","76","76"
"1900","3.7831077575683594","3.7831077575683594","3.7831077575683594","11","11","11","3.6509575843811035","3.6509575843811035","3.6509575843811035","78","78","78","3.8823776245117188","3.8823776245117188","3.8823776245117188","11","11","11","","","","","","","3.628857374191284","3.628857374191284","3.628857374191284","78","78","78","3.5623319149017334","3.5623319149017334","3.5623319149017334","78","78","78","3.5870933532714844","3.5870933532714844","3.5870933532714844","78","78","78"
"1950","","","","","","","3.99751615524292","3.99751615524292","3.99751615524292","80","80","80","","","","","","","","","","","","","3.9824306964874268","3.9824306964874268","3.9824306964874268","80","80","80","3.8879878520965576","3.8879878520965576","3.8879878520965576","80","80","80","3.9575886726379395","3.9575886726379395","3.9575886726379395","80","80","80"
"2000","3.701307773590088","3.701307773590088","3.701307773590088","13","13","13","4.0203094482421875","4.0203094482421875","4.0203094482421875","82","82","82","3.774517774581909","3.774517774581909","3.774517774581909","13","13","13","","","","","","","4.008546829223633","4.008546829223633","4.008546829223633","82","82","82","3.936476469039917","3.936476469039917","3.936476469039917","82","82","82","3.9892444610595703","3.9892444610595703","3.9892444610595703","82","82","82"
"2050","","","","","","","3.8800547122955322","3.8800547122955322","3.8800547122955322","84","84","84","","","","","","","","","","","","","3.8952932357788086","3.8952932357788086","3.8952932357788086","84","84","84","3.80668568611145","3.80668568611145","3.80668568611145","84","84","84","3.854100227355957","3.854100227355957","3.854100227355957","84","84","84"
"2100","3.6346137523651123","3.6346137523651123","3.6346137523651123","15","15","15","3.725991725921631","3.725991725921631","3.725991725921631","86","86","86","3.715014934539795","3.715014934539795","3.715014934539795","15","15","15","","","","","","","3.73545503616333","3.73545503616333","3.73545503616333","86","86","86","3.645979881286621","3.645979881286621","3.645979881286621","86","86","86","3.703188896179199","3.703188896179199","3.703188896179199","86","86","86"
"2150","","","","","","","3.475313663482666","3.475313663482666","3.475313663482666","88","88","88","","","","","","","","","","","","","3.4795656204223633","3.4795656204223633","3.4795656204223633","88","88","88","3.4084720611572266","3.4084720611572266","3.4084720611572266","88","88","88","3.4682703018188477","3.4682703018188477","3.4682703018188477","88","88","88"
"2200","3.7533774375915527","3.7533774375915527","3.7533774375915527","17","17","17","3.7727909088134766","3.7727909088134766","3.7727909088134766","90","90","90","3.8090710639953613","3.8090710639953613","3.8090710639953613","17","17","17","","","","","","","3.786135196685791","3.786135196685791","3.786135196685791","90","90","90","3.697580337524414","3.697580337524414","3.697580337524414","90","90","90","3.7795791625976562","3.7795791625976562","3.7795791625976562","90","90","90"
"2250","","","","","","","3.5739240646362305","3.5739240646362305","3.5739240646362305","92","92","92","","","","","","","","","","","","","3.5989584922790527","3.5989584922790527","3.5989584922790527","92","92","92","3.5081875324249268","3.5081875324249268","3.5081875324249268","92","92","92","3.5718493461608887","3.5718493461608887","3.5718493461608887","92","92","92"
"2300","3.7113771438598633","3.7113771438598633","3.7113771438598633","19","19","19","3.672356128692627","3.672356128692627","3.672356128692627","94","94","94","3.7647109031677246","3.7647109031677246","3.7647109031677246","19","19","19","","","","","","","3.6891016960144043","3.6891016960144043","3.6891016960144043","94","94","94","3.61179256439209","3.61179256439209","3.61179256439209","94","94","94","3.6586179733276367","3.6586179733276367","3.6586179733276367","94","94","94"
